 %%% Date (yyyymmdd): 20140220
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.1226721E+01  0.3591348E+02
     1      2 -0.1075817E+00  0.4185216E-01
     1      3 -0.2462305E+00  0.4034777E+00
     1      4  0.6201975E-02  0.5661828E-01
     2      1 -0.2561954E+00  0.6586175E-01
     2      2  0.1206955E+01  0.3590993E+02
     2      3 -0.7803002E-01  0.1215758E+00
     2      4 -0.2495373E+00  0.4119368E+00
     3      1 -0.5359497E-01  0.7312736E-01
     3      2 -0.5870776E-01  0.3339988E-01
     3      3  0.1199853E+01  0.3583737E+02
     3      4 -0.1151442E+00  0.4626382E-01
     4      1 -0.7944492E-01  0.3918869E-01
     4      2 -0.5374971E-01  0.7528816E-01
     4      3 -0.2575387E+00  0.6450912E-01
     4      4  0.1271806E+01  0.3633727E+02
