 %%% Date (yyyymmdd): 20140220
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.2260899E+01  0.3515452E+02
     1      2 -0.8472913E+00 -0.7451565E-01
     1      3 -0.2152207E+00  0.4554255E+00
     1      4 -0.2521843E-01  0.1780277E-01
     2      1 -0.9951180E+00  0.2847680E+00
     2      2  0.2249337E+01  0.3516605E+02
     2      3 -0.1101972E+00  0.1870936E+00
     2      4 -0.2113562E+00  0.4598575E+00
     3      1 -0.2106812E+00  0.5578208E-01
     3      2 -0.2418838E+00  0.4883039E-01
     3      3  0.2230210E+01  0.3509275E+02
     3      4 -0.8590304E+00 -0.5657647E-01
     4      1 -0.2752755E+00  0.2154102E+00
     4      2 -0.2127184E+00  0.5742419E-01
     4      3 -0.1013319E+01  0.2831589E+00
     4      4  0.2339942E+01  0.3555643E+02
