 %%% Date (yyyymmdd): 20140217
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.1672950E+01  0.2885047E+02
     1      2 -0.6208053E+00 -0.5899098E-01
     1      3 -0.1860638E+00  0.3452257E+00
     1      4 -0.6895442E-02  0.3884394E-01
     2      1 -0.7227164E+00  0.1835021E+00
     2      2  0.1665447E+01  0.2886517E+02
     2      3 -0.8992357E-01  0.1198193E+00
     2      4 -0.1853734E+00  0.3506157E+00
     3      1 -0.1577782E+00  0.3846585E-01
     3      2 -0.1782875E+00  0.3005942E-01
     3      3  0.1654691E+01  0.2881409E+02
     3      4 -0.6285315E+00 -0.4589426E-01
     4      1 -0.2092879E+00  0.1503690E+00
     4      2 -0.1600387E+00  0.3934246E-01
     4      3 -0.7336676E+00  0.1830659E+00
     4      4  0.1721806E+01  0.2913549E+02
