 %%% Date (yyyymmdd): 20140216
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.1019609E+01  0.2932518E+02
     1      2 -0.1403320E+00 -0.8552510E-02
     1      3 -0.1863476E+00  0.3076825E+00
     1      4  0.2379336E-02  0.3836664E-01
     2      1 -0.2662628E+00  0.3404520E-01
     2      2  0.1007959E+01  0.2933585E+02
     2      3 -0.6249266E-01  0.9113915E-01
     2      4 -0.1882714E+00  0.3135553E+00
     3      1 -0.5867200E-01  0.4692279E-01
     3      2 -0.5645371E-01  0.2243363E-01
     3      3  0.1002620E+01  0.2928425E+02
     3      4 -0.1466377E+00 -0.4821214E-02
     4      1 -0.7598152E-01  0.3453476E-01
     4      2 -0.5897112E-01  0.4834274E-01
     4      3 -0.2680073E+00  0.3229021E-01
     4      4  0.1052546E+01  0.2962348E+02
