 %%% Date (yyyymmdd): 20140216
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.1133440E+01  0.2923693E+02
     1      2 -0.2207996E+00 -0.3585372E-01
     1      3 -0.1854924E+00  0.3172019E+00
     1      4 -0.7154666E-04  0.3644473E-01
     2      1 -0.3587267E+00  0.4242687E-01
     2      2  0.1125260E+01  0.2924910E+02
     2      3 -0.6588917E-01  0.9541492E-01
     2      4 -0.1870986E+00  0.3232322E+00
     3      1 -0.8220979E-01  0.4363141E-01
     3      2 -0.7393959E-01  0.2306365E-01
     3      3  0.1118979E+01  0.2919773E+02
     3      4 -0.2283219E+00 -0.3092261E-01
     4      1 -0.9734125E-01  0.4669879E-01
     4      2 -0.8269805E-01  0.4498907E-01
     4      3 -0.3619758E+00  0.4002745E-01
     4      4  0.1169735E+01  0.2953186E+02
