 %%% Date (yyyymmdd): 20140216
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.7601689E+00  0.2951747E+02
     1      2 -0.1193619E-01  0.7247456E-01
     1      3 -0.1865904E+00  0.2849679E+00
     1      4 -0.9487011E-03  0.4830932E-01
     2      1 -0.9011438E-01  0.6220151E-01
     2      2  0.7447172E+00  0.2951844E+02
     2      3 -0.5601613E-01  0.9008663E-01
     2      4 -0.1890522E+00  0.2904681E+00
     3      1 -0.2152560E-01  0.6619094E-01
     3      2 -0.3169257E-01  0.2907281E-01
     3      3  0.7410681E+00  0.2946668E+02
     3      4 -0.1538205E-01  0.7465628E-01
     4      1 -0.4147973E-01  0.2814606E-01
     4      2 -0.2147694E-01  0.6811666E-01
     4      3 -0.8970845E-01  0.6225276E-01
     4      4  0.7856286E+00  0.2982154E+02
