 %%% Date (yyyymmdd): 20130919
 %%% Feeding        : coaxial cable
 %%% Frequency      :     48000000.00000000     
     1      1  0.6057772E+00  0.2019957E+02
     1      2 -0.1544364E+00  0.7556281E-02
     1      3 -0.1030178E+00  0.1683501E+00
     1      4  0.4959665E-02  0.2627529E-01
     2      1 -0.2396795E+00  0.5779387E-01
     2      2  0.7434504E+00  0.2281739E+02
     2      3 -0.3952092E-01  0.6429704E-01
     2      4 -0.1019844E+00  0.1693799E+00
     3      1 -0.4970311E-01  0.2473394E-01
     3      2 -0.4781829E-01  0.1828060E-01
     3      3  0.7412691E+00  0.2236286E+02
     3      4 -0.1535362E+00  0.1461094E-01
     4      1 -0.5122831E-01  0.2706803E-01
     4      2 -0.5043546E-01  0.2463577E-01
     4      3 -0.2390853E+00  0.6395831E-01
     4      4  0.5909011E+00  0.2016830E+02
