 %%% Date (yyyymmdd): 20140220
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.1687823E+01  0.3559516E+02
     1      2 -0.4143730E+00 -0.9277976E-01
     1      3 -0.2426597E+00  0.4367959E+00
     1      4 -0.3416127E-03  0.4698347E-01
     2      1 -0.6160761E+00  0.7392684E-01
     2      2  0.1680398E+01  0.3559728E+02
     2      3 -0.9130651E-01  0.1305493E+00
     2      4 -0.2446976E+00  0.4457733E+00
     3      1 -0.1458577E+00  0.5611699E-01
     3      2 -0.1290613E+00  0.3286800E-01
     3      3  0.1668814E+01  0.3552557E+02
     3      4 -0.4276616E+00 -0.8363959E-01
     4      1 -0.1687528E+00  0.8438849E-01
     4      2 -0.1472908E+00  0.5790935E-01
     4      3 -0.6241157E+00  0.6965859E-01
     4      4  0.1748128E+01  0.3600499E+02
