 %%% Date (yyyymmdd): 20140612
 %%% Feeding        : coaxial cable
 %%% Frequency      :    60000000.0000000     
     1      1  0.2551719E+01  0.4081775E+02
     1      2 -0.9504554E+00 -0.9648928E-01
     1      3 -0.2994679E+00  0.5462229E+00
     1      4 -0.1385294E-01  0.5512224E-01
     2      1 -0.1141276E+01  0.2959538E+00
     2      2  0.2604859E+01  0.4107728E+02
     2      3 -0.1260596E+00  0.1700845E+00
     2      4 -0.3002975E+00  0.5519416E+00
     3      1 -0.2375837E+00  0.8936804E-01
     3      2 -0.2376001E+00  0.3917421E-01
     3      3  0.2529008E+01  0.4106772E+02
     3      4 -0.9130608E+00 -0.9034727E-01
     4      1 -0.3030130E+00  0.1783413E+00
     4      2 -0.2368102E+00  0.9059433E-01
     4      3 -0.1096470E+01  0.2869102E+00
     4      4  0.2501862E+01  0.4090700E+02
