 %%% Date (yyyymmdd): 20140617
 %%% Feeding        : coaxial cable
 %%% Frequency      :    70000000.0000000     
     1      1  0.3367712E+01  0.5508358E+02
     1      2 -0.9845729E+00 -0.7208055E-01
     1      3 -0.4502808E+00  0.8751404E+00
     1      4  0.1151250E-01  0.6893858E-01
     2      1 -0.1382100E+01  0.3229267E+00
     2      2  0.3440715E+01  0.5548648E+02
     2      3 -0.1753200E+00  0.2657316E+00
     2      4 -0.4544275E+00  0.8840208E+00
     3      1 -0.2976491E+00  0.1441767E+00
     3      2 -0.2682126E+00  0.9329108E-01
     3      3  0.3354938E+01  0.5545831E+02
     3      4 -0.9404552E+00 -0.7295284E-01
     4      1 -0.3295119E+00  0.1940276E+00
     4      2 -0.2978152E+00  0.1466080E+00
     4      3 -0.1324749E+01  0.3090440E+00
     4      4  0.3320225E+01  0.5521971E+02
