 %%% Date (yyyymmdd): 20140518
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.1527626E+01  0.2915398E+02
     1      2 -0.5379699E+00 -0.8951376E-01
     1      3 -0.1885474E+00  0.3233920E+00
     1      4 -0.1056554E-01  0.3615042E-01
     2      1 -0.6598606E+00  0.1353015E+00
     2      2  0.1558020E+01  0.2932535E+02
     2      3 -0.7528646E-01  0.9996215E-01
     2      4 -0.1889558E+00  0.3269868E+00
     3      1 -0.1436557E+00  0.4521804E-01
     3      2 -0.1391492E+00  0.1532266E-01
     3      3  0.1512174E+01  0.2931831E+02
     3      4 -0.5176410E+00 -0.8424834E-01
     4      1 -0.1851068E+00  0.9544685E-01
     4      2 -0.1432023E+00  0.4593712E-01
     4      3 -0.6338015E+00  0.1321843E+00
     4      4  0.1497301E+01  0.2920786E+02
