 %%% Date (yyyymmdd): 20140518
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.1429005E+01  0.2928244E+02
     1      2 -0.4266554E+00 -0.1396067E+00
     1      3 -0.1854093E+00  0.3181895E+00
     1      4 -0.7544173E-02  0.3242564E-01
     2      1 -0.5904509E+00  0.5137815E-01
     2      2  0.1459075E+01  0.2946024E+02
     2      3 -0.7050721E-01  0.9834928E-01
     2      4 -0.1864175E+00  0.3218738E+00
     3      1 -0.1383642E+00  0.3062592E-01
     3      2 -0.1200369E+00  0.1360185E-01
     3      3  0.1419828E+01  0.2944776E+02
     3      4 -0.4111881E+00 -0.1347784E+00
     4      1 -0.1662680E+00  0.6505394E-01
     4      2 -0.1384422E+00  0.3142957E-01
     4      3 -0.5674263E+00  0.5188906E-01
     4      4  0.1404870E+01  0.2933418E+02
