 %%% Date (yyyymmdd): 20140605
 %%% Feeding        : coaxial cable
 %%% Frequency      :    52500000.0000000     
     1      1  0.1075006E+01  0.3361413E+02
     1      2 -0.1031243E+00  0.4326965E-01
     1      3 -0.2180519E+00  0.3492853E+00
     1      4  0.4847773E-02  0.4450326E-01
     2      1 -0.2375667E+00  0.6696813E-01
     2      2  0.1083237E+01  0.3382689E+02
     2      3 -0.6647181E-01  0.1043180E+00
     2      4 -0.2198999E+00  0.3541914E+00
     3      1 -0.4827859E-01  0.6280659E-01
     3      2 -0.5239241E-01  0.2909720E-01
     3      3  0.1059488E+01  0.3381167E+02
     3      4 -0.9423435E-01  0.4326201E-01
     4      1 -0.6806345E-01  0.3243277E-01
     4      2 -0.4794284E-01  0.6339140E-01
     4      3 -0.2258345E+00  0.6646390E-01
     4      4  0.1061097E+01  0.3368050E+02
