 %%% Date (yyyymmdd): 20140608
 %%% Feeding        : coaxial cable
 %%% Frequency      :    57500000.0000000     
     1      1  0.2283086E+01  0.3806200E+02
     1      2 -0.8402097E+00 -0.9788638E-01
     1      3 -0.2708963E+00  0.4881566E+00
     1      4 -0.1278423E-01  0.5010596E-01
     2      1 -0.1011639E+01  0.2506256E+00
     2      2  0.2329434E+01  0.3829760E+02
     2      3 -0.1141487E+00  0.1516653E+00
     2      4 -0.2715392E+00  0.4933054E+00
     3      1 -0.2132144E+00  0.7834854E-01
     3      2 -0.2106366E+00  0.3110928E-01
     3      3  0.2260806E+01  0.3828893E+02
     3      4 -0.8073085E+00 -0.9152501E-01
     4      1 -0.2733845E+00  0.1542935E+00
     4      2 -0.2124982E+00  0.7946302E-01
     4      3 -0.9714900E+00  0.2429007E+00
     4      4  0.2237740E+01  0.3814149E+02
