 %%% Date (yyyymmdd): 20130520
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.1566891E+01  0.2634682E+02
     1      2 -0.5882206E+00 -0.3476565E-01
     1      3 -0.1772682E+00  0.3202443E+00
     1      4  0.3883489E-02  0.4699332E-01
     2      1 -0.7128589E+00  0.2087993E+00
     2      2  0.1562060E+01  0.2631373E+02
     2      3 -0.7839830E-01  0.1091986E+00
     2      4 -0.1761497E+00  0.3189487E+00
     3      1 -0.1418096E+00  0.7040468E-01
     3      2 -0.1254521E+00  0.1147518E-01
     3      3  0.1539937E+01  0.2630056E+02
     3      4 -0.5780067E+00 -0.2659158E-01
     4      1 -0.1944925E+00  0.9927181E-01
     4      2 -0.1421928E+00  0.7041190E-01
     4      3 -0.7006470E+00  0.2099918E+00
     4      4  0.1535991E+01  0.2632612E+02
