"F [MHz]","dB(S(Port1,Port1)) []"
40,-17.123589371241
40.2020202020202,-17.446777568152
40.4040404040404,-17.7770516475987
40.6060606060606,-18.1146429344863
40.8080808080808,-18.4597955433315
41.010101010101,-18.8127672437602
41.2121212121212,-19.1738303870405
41.4141414141414,-19.5432728973541
41.6161616161616,-19.9213993313868
41.8181818181818,-20.3085320095634
42.020202020202,-20.7050122217866
42.2222222222222,-21.1112015098095
42.4242424242424,-21.5274830272723
42.6262626262626,-21.9542629768407
42.8282828282828,-22.3919721216365
43.030303030303,-22.8410673650238
43.2323232323232,-23.3020333885155
43.4343434343434,-23.7753843317199
43.6363636363636,-24.261665490321
43.8383838383838,-24.7614549974091
44.040404040404,-25.2753654391401
44.2424242424242,-25.8040453364391
44.4444444444445,-26.3481803986722
44.6464646464646,-26.9084944205854
44.8484848484848,-27.4857496473613
45.0505050505051,-28.0807463701104
45.2525252525253,-28.6943214297504
45.4545454545455,-29.3273451928387
45.6565656565657,-29.9807164070463
45.8585858585859,-30.6553541299018
46.0606060606061,-31.3521856278846
46.2626262626263,-32.0721287274115
46.4646464646465,-32.8160665091037
46.6666666666667,-33.5848113850764
46.8686868686869,-34.3790543482135
47.0707070707071,-35.1992933107182
47.2727272727273,-36.0457315985558
47.4747474747475,-36.9181332640654
47.6767676767677,-37.815615026132
47.8787878787879,-38.7363440456973
48.0808080808081,-39.6770947964449
48.2828282828283,-40.6325959389961
48.4848484848485,-41.5945718153554
48.6868686868687,-42.5503672221038
48.8888888888889,-43.4810834442698
49.0909090909091,-44.3593551395929
49.2929292929293,-45.1474449674325
49.4949494949495,-45.7973500280391
49.6969696969697,-46.2556281474089
49.8989898989899,-46.4748526639656
50.1010101010101,-46.4289355971827
50.3030303030303,-46.1235386846342
50.5050505050505,-45.5936973209462
50.7070707070707,-44.8905629506921
50.9090909090909,-44.0666648588065
51.1111111111111,-43.1667355480636
51.3131313131313,-42.2248228931357
51.5151515151515,-41.2651396455693
51.7171717171717,-40.3042079934829
51.9191919191919,-39.3529988075541
52.1212121212121,-38.4186275827128
52.3232323232323,-37.5055749270861
52.5252525252525,-36.6165282743571
52.7272727272727,-35.7529537107098
52.9292929292929,-34.9154843470503
53.1313131313131,-34.1041859768172
53.3333333333333,-33.3187406024505
53.5353535353535,-32.5585744742923
53.7373737373737,-31.8229481388838
53.9393939393939,-31.1110201040332
54.1414141414141,-30.4218919378104
54.3434343434343,-29.7546401548734
54.5454545454545,-29.1083386164731
54.7474747474747,-28.4820740761865
54.9494949494949,-27.8749567536988
55.1515151515152,-27.2861272964733
55.3535353535353,-26.7147611194471
55.5555555555556,-26.1600708479642
55.7575757575758,-25.6213073973079
55.959595959596,-25.0977600820796
56.1616161616162,-24.5887560456831
56.3636363636364,-24.0936592240399
56.5656565656566,-23.6118690012207
56.7676767676768,-23.1428186726717
56.969696969697,-22.6859738004095
57.1717171717172,-22.2408305212323
57.3737373737374,-21.8069138515755
57.5757575757576,-21.3837760196718
57.7777777777778,-20.970994846039
57.979797979798,-20.5681721861696
58.1818181818182,-20.174932444029
58.3838383838384,-19.7909211611143
58.5858585858586,-19.4158036830257
58.7878787878788,-19.0492639035034
58.989898989899,-18.6910030844727
59.1919191919192,-18.3407387496842
59.3939393939394,-17.9982036488997
59.5959595959596,-17.6631447891945
59.7979797979798,-17.3353225297374
60,-17.0145097363356
