 %%% Date (yyyymmdd): 20140523
 %%% Feeding        : coaxial cable
 %%% Frequency      :    27000000.0000000     
     1      1  0.3639186E+00  0.1478027E+02
     1      2 -0.2776755E-01  0.1129310E-01
     1      3 -0.7777476E-01  0.1180423E+00
     1      4 -0.6424079E-03  0.1619096E-01
     2      1 -0.7046387E-01  0.1585784E-01
     2      2  0.3660500E+00  0.1485872E+02
     2      3 -0.2369615E-01  0.3493755E-01
     2      4 -0.7849760E-01  0.1196205E+00
     3      1 -0.1471148E-01  0.2054882E-01
     3      2 -0.1614258E-01  0.8708768E-02
     3      3  0.3575682E+00  0.1485493E+02
     3      4 -0.2508204E-01  0.1141636E-01
     4      1 -0.2175206E-01  0.9672355E-02
     4      2 -0.1454028E-01  0.2062067E-01
     4      3 -0.6713039E-01  0.1594707E-01
     4      4  0.3591473E+00  0.1480321E+02
