 %%% Date (yyyymmdd): 20140608
 %%% Feeding        : coaxial cable
 %%% Frequency      :    57500000.0000000     
     1      1  0.1841667E+01  0.3835968E+02
     1      2 -0.4914294E+00 -0.8177655E-01
     1      3 -0.2654629E+00  0.4740768E+00
     1      4  0.7744875E-03  0.4478976E-01
     2      1 -0.7129470E+00  0.1151632E+00
     2      2  0.1877342E+01  0.3860960E+02
     2      3 -0.9836261E-01  0.1423872E+00
     2      4 -0.2675273E+00  0.4782822E+00
     3      1 -0.1616013E+00  0.6380506E-01
     3      2 -0.1432778E+00  0.4076721E-01
     3      3  0.1830111E+01  0.3859351E+02
     3      4 -0.4696450E+00 -0.7939979E-01
     4      1 -0.1800824E+00  0.9178194E-01
     4      2 -0.1620166E+00  0.6504421E-01
     4      3 -0.6836925E+00  0.1119339E+00
     4      4  0.1813405E+01  0.3843834E+02
