 %%% Date (yyyymmdd): 20140531
 %%% Feeding        : coaxial cable
 %%% Frequency      :    50000000.0000000     
     1      1  0.1209007E+01  0.3113324E+02
     1      2 -0.2559013E+00 -0.2893048E-01
     1      3 -0.1964839E+00  0.3348568E+00
     1      4  0.1634259E-02  0.3449494E-01
     2      1 -0.4067318E+00  0.6351104E-01
     2      2  0.1227754E+01  0.3132809E+02
     2      3 -0.6733527E-01  0.9829269E-01
     2      4 -0.1976663E+00  0.3375993E+00
     3      1 -0.8970511E-01  0.4698154E-01
     3      2 -0.8008494E-01  0.2665865E-01
     3      3  0.1197833E+01  0.3131598E+02
     3      4 -0.2433997E+00 -0.2745934E-01
     4      1 -0.1017211E+00  0.4892020E-01
     4      2 -0.8994202E-01  0.4764696E-01
     4      3 -0.3896766E+00  0.6200535E-01
     4      4  0.1191107E+01  0.3119225E+02
