 %%% Date (yyyymmdd): 20140531
 %%% Feeding        : coaxial cable
 %%% Frequency      :    50000000.0000000     
     1      1  0.1658764E+01  0.3085906E+02
     1      2 -0.5887890E+00 -0.9286365E-01
     1      3 -0.2036030E+00  0.3527149E+00
     1      4 -0.1108177E-01  0.3905241E-01
     2      1 -0.7195769E+00  0.1526454E+00
     2      2  0.1691479E+01  0.3104296E+02
     2      3 -0.8230155E-01  0.1093175E+00
     2      4 -0.2039611E+00  0.3563228E+00
     3      1 -0.1549627E+00  0.5070379E-01
     3      2 -0.1520497E+00  0.1674197E-01
     3      3  0.1642047E+01  0.3103576E+02
     3      4 -0.5662243E+00 -0.8719122E-01
     4      1 -0.2012212E+00  0.1056627E+00
     4      2 -0.1544214E+00  0.5140714E-01
     4      3 -0.6915814E+00  0.1491137E+00
     4      4  0.1625510E+01  0.3091761E+02
