 %%% Date (yyyymmdd): 20140520
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.1650711E+01  0.3576373E+02
     1      2 -0.4331249E+00 -0.7888432E-01
     1      3 -0.2397708E+00  0.4246021E+00
     1      4  0.3139040E-03  0.4142660E-01
     2      1 -0.6319742E+00  0.9409152E-01
     2      2  0.1682114E+01  0.3599303E+02
     2      3 -0.8760932E-01  0.1279623E+00
     2      4 -0.2417987E+00  0.4287919E+00
     3      1 -0.1443431E+00  0.5528101E-01
     3      2 -0.1277132E+00  0.3474891E-01
     3      3  0.1639580E+01  0.3597894E+02
     3      4 -0.4140382E+00 -0.7661703E-01
     4      1 -0.1616813E+00  0.8020620E-01
     4      2 -0.1446681E+00  0.5633212E-01
     4      3 -0.6064623E+00  0.9164127E-01
     4      4  0.1625009E+01  0.3583570E+02
