 %%% Date (yyyymmdd): 20140520
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.1918770E+01  0.3567521E+02
     1      2 -0.5958351E+00 -0.1705734E+00
     1      3 -0.2443618E+00  0.4277902E+00
     1      4 -0.8422368E-02  0.3995953E-01
     2      1 -0.8115999E+00  0.9689921E-01
     2      2  0.1961573E+01  0.3590043E+02
     2      3 -0.9589800E-01  0.1301880E+00
     2      4 -0.2452851E+00  0.4329718E+00
     3      1 -0.1875481E+00  0.4900642E-01
     3      2 -0.1609960E+00  0.2324735E-01
     3      3  0.1908403E+01  0.3588536E+02
     3      4 -0.5742371E+00 -0.1645385E+00
     4      1 -0.2218065E+00  0.9278890E-01
     4      2 -0.1875487E+00  0.5023443E-01
     4      3 -0.7805916E+00  0.9589144E-01
     4      4  0.1885968E+01  0.3574409E+02
