 %%% Date (yyyymmdd): 20140601
 %%% Feeding        : coaxial cable
 %%% Frequency      :    50000000.0000000     
     1      1  0.1552373E+01  0.3099919E+02
     1      2 -0.4682134E+00 -0.1484666E+00
     1      3 -0.2006826E+00  0.3456690E+00
     1      4 -0.7522394E-02  0.3418145E-01
     2      1 -0.6452603E+00  0.6154197E-01
     2      2  0.1585438E+01  0.3118997E+02
     2      3 -0.7665187E-01  0.1058683E+00
     2      4 -0.2016059E+00  0.3497286E+00
     3      1 -0.1509023E+00  0.3601525E-01
     3      2 -0.1292369E+00  0.1497213E-01
     3      3  0.1542635E+01  0.3117659E+02
     3      4 -0.4513138E+00 -0.1432074E+00
     4      1 -0.1809111E+00  0.7099268E-01
     4      2 -0.1509463E+00  0.3696563E-01
     4      3 -0.6204013E+00  0.6150301E-01
     4      4  0.1525842E+01  0.3105492E+02
