 %%% Date (yyyymmdd): 20140518
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.1649891E+01  0.2901987E+02
     1      2 -0.6486646E+00 -0.3910482E-01
     1      3 -0.1800380E+00  0.3451472E+00
     1      4  0.2337252E-02  0.3248163E-01
     2      1 -0.7333803E+00  0.2090800E+00
     2      2  0.1674930E+01  0.2918796E+02
     2      3 -0.9219681E-01  0.1216453E+00
     2      4 -0.1748010E+00  0.3463083E+00
     3      1 -0.1516366E+00  0.3588330E-01
     3      2 -0.1840844E+00  0.3369808E-01
     3      3  0.1631489E+01  0.2922824E+02
     3      4 -0.5849794E+00 -0.5235797E-01
     4      1 -0.2021472E+00  0.1497026E+00
     4      2 -0.1511959E+00  0.3302316E-01
     4      3 -0.7231702E+00  0.1996318E+00
     4      4  0.1617030E+01  0.2909638E+02
