 %%% Date (yyyymmdd): 20140617
 %%% Feeding        : coaxial cable
 %%% Frequency      :    70000000.0000000     
     1      1  0.2075830E+01  0.5604601E+02
     1      2 -0.9662646E-01  0.2489138E+00
     1      3 -0.4640246E+00  0.7780080E+00
     1      4  0.2820386E-01  0.1116770E+00
     2      1 -0.3468749E+00  0.2533728E+00
     2      2  0.2087856E+01  0.5645734E+02
     2      3 -0.1317485E+00  0.2447645E+00
     2      4 -0.4720184E+00  0.7856022E+00
     3      1 -0.7375333E-01  0.1837717E+00
     3      2 -0.1001560E+00  0.8770960E-01
     3      3  0.2046183E+01  0.5641918E+02
     3      4 -0.7746942E-01  0.2470919E+00
     4      1 -0.1224977E+00  0.8492132E-01
     4      2 -0.7226307E-01  0.1857319E+00
     4      3 -0.3259566E+00  0.2470666E+00
     4      4  0.2053976E+01  0.5618577E+02
