 %%% Date (yyyymmdd): 20140529
 %%% Feeding        : coaxial cable
 %%% Frequency      :    35000000.0000000     
     1      1  0.6521298E+00  0.1973401E+02
     1      2 -0.1273294E+00 -0.2164788E-01
     1      3 -0.1099155E+00  0.1800853E+00
     1      4 -0.9092380E-03  0.1997238E-01
     2      1 -0.2075194E+00  0.2339789E-01
     2      2  0.6610017E+00  0.1984535E+02
     2      3 -0.3690671E-01  0.5261513E-01
     2      4 -0.1104386E+00  0.1814359E+00
     3      1 -0.4697249E-01  0.2295805E-01
     3      2 -0.4175038E-01  0.1208030E-01
     3      3  0.6446173E+00  0.1983941E+02
     3      4 -0.1211394E+00 -0.2055103E-01
     4      1 -0.5436533E-01  0.2370292E-01
     4      2 -0.4703803E-01  0.2321350E-01
     4      3 -0.1990443E+00  0.2319661E-01
     4      4  0.6420076E+00  0.1976629E+02
