 %%% Date (yyyymmdd): 20140520
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.1007136E+01  0.3621582E+02
     1      2 -0.2980929E-01  0.1075142E+00
     1      3 -0.2403987E+00  0.3758502E+00
     1      4  0.3477028E-02  0.5863976E-01
     2      1 -0.1417566E+00  0.1019387E+00
     2      2  0.1008343E+01  0.3644371E+02
     2      3 -0.7026435E-01  0.1170184E+00
     2      4 -0.2430244E+00  0.3769607E+00
     3      1 -0.3198842E-01  0.8579677E-01
     3      2 -0.4463934E-01  0.3882052E-01
     3      3  0.9883221E+00  0.3642522E+02
     3      4 -0.2138621E-01  0.1075768E+00
     4      1 -0.5540161E-01  0.3674117E-01
     4      2 -0.3114554E-01  0.8765696E-01
     4      3 -0.1324925E+00  0.9804148E-01
     4      4  0.9938809E+00  0.3628793E+02
