 %%% Date (yyyymmdd): 20140520
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.1494996E+01  0.3584529E+02
     1      2 -0.3273198E+00 -0.2799401E-01
     1      3 -0.2385239E+00  0.4152845E+00
     1      4  0.3700374E-02  0.4148614E-01
     2      1 -0.5142770E+00  0.9123558E-01
     2      2  0.1519349E+01  0.3607673E+02
     2      3 -0.8265418E-01  0.1226142E+00
     2      4 -0.2403834E+00  0.4191633E+00
     3      1 -0.1122213E+00  0.6043681E-01
     3      2 -0.1006919E+00  0.3535990E-01
     3      3  0.1482616E+01  0.3606270E+02
     3      4 -0.3111839E+00 -0.2681053E-01
     4      1 -0.1261605E+00  0.6340150E-01
     4      2 -0.1124534E+00  0.6141440E-01
     4      3 -0.4929141E+00  0.8861647E-01
     4      4  0.1473304E+01  0.3591818E+02
