 %%% Date (yyyymmdd): 20130216
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.7931720E-01 -0.8857206E+01
     1      2 -0.3164007E-02  0.3897272E-04
     1      3  0.4683337E-01 -0.2766499E+02
     1      4  0.1770953E-01 -0.4810450E-02
     1      5 -0.1166537E+00 -0.3226629E+02
     1      6 -0.9789344E-02  0.2646324E-02
     2      1 -0.1771950E-01  0.2430807E-02
     2      2  0.8570362E-01 -0.8845358E+01
     2      3  0.3717035E-02 -0.1997358E-02
     2      4  0.6562884E-01 -0.2760779E+02
     2      5  0.1342797E-01 -0.7004342E-03
     2      6 -0.1360436E+00 -0.3233760E+02
     3      1  0.1257086E+00 -0.2778429E+02
     3      2 -0.3101887E-01  0.6278903E-02
     3      3  0.5542049E+00 -0.7584148E+01
     3      4 -0.3801130E-01  0.4859936E-02
     3      5 -0.6190662E+00 -0.3949241E+02
     3      6  0.6294771E-01 -0.1049940E-01
     4      1 -0.1622135E-01 -0.6927610E-02
     4      2  0.1455638E+00 -0.2772837E+02
     4      3 -0.5828114E-01 -0.1528022E-01
     4      4  0.5598711E+00 -0.7600132E+01
     4      5  0.6997486E-01  0.1989939E-01
     4      6 -0.6180640E+00 -0.3949792E+02
     5      1 -0.1822433E+00 -0.3216643E+02
     5      2  0.2993894E-01 -0.6208782E-02
     5      3 -0.5380509E+00 -0.3961342E+02
     5      4  0.1610680E-01  0.5766574E-03
     5      5  0.6599863E+00 -0.5970013E+01
     5      6 -0.4479401E-01  0.5892588E-02
     6      1  0.2801870E-01  0.3667768E-02
     6      2 -0.1989418E+00 -0.3224191E+02
     6      3  0.4468388E-01  0.1485731E-01
     6      4 -0.5379385E+00 -0.3961778E+02
     6      5 -0.6988102E-01 -0.1714251E-01
     6      6  0.6510809E+00 -0.5952890E+01
