 %%% Date (yyyymmdd): 20130607
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.7658568E+00  0.1974191E+02
     1      2 -0.2484051E+00 -0.5320894E-01
     1      3 -0.9414383E-01  0.1521235E+00
     1      4  0.1309334E-02  0.2580043E-01
     2      1 -0.3380296E+00  0.5296189E-01
     2      2  0.7653722E+00  0.1976844E+02
     2      3 -0.3757238E-01  0.5320984E-01
     2      4 -0.9382130E-01  0.1523999E+00
     3      1 -0.7347375E-01  0.1979283E-01
     3      2 -0.5562024E-01  0.9044265E-02
     3      3  0.7547092E+00  0.1974030E+02
     3      4 -0.2452556E+00 -0.4815086E-01
     4      1 -0.8454449E-01  0.3302892E-01
     4      2 -0.7394055E-01  0.2011478E-01
     4      3 -0.3329320E+00  0.5589858E-01
     4      4  0.7538841E+00  0.1977984E+02
