 %%% Date (yyyymmdd): 20140216
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.9068879E+00  0.2940770E+02
     1      2 -0.7334171E-01  0.2746141E-01
     1      3 -0.1866320E+00  0.2984221E+00
     1      4  0.2327366E-02  0.4289405E-01
     2      1 -0.1811206E+00  0.4235723E-01
     2      2  0.8928310E+00  0.2941448E+02
     2      3 -0.5892053E-01  0.8969528E-01
     2      4 -0.1887706E+00  0.3039781E+00
     3      1 -0.3822135E-01  0.5340201E-01
     3      2 -0.4227482E-01  0.2371771E-01
     3      3  0.8880207E+00  0.2936298E+02
     3      4 -0.7881707E-01  0.3047650E-01
     4      1 -0.5769034E-01  0.2753604E-01
     4      2 -0.3819384E-01  0.5490894E-01
     4      3 -0.1820380E+00  0.4139900E-01
     4      4  0.9359945E+00  0.2970864E+02
